sasdate,INDPRO,S&P 500,PAYEMS,CPIAUCSL,BUSINVx
1959-03-01,0.007247019317462052,-0.0016819702639067273,0.0034148389879348124,,0.005968647850319218
1959-04-01,0.008256653824398993,0.007577635724146457,0.003954437030314588,0.00027866020789301716,0.0071879232080369355
1959-05-01,0.009278248920174367,0.005135409174204068,0.00426787358507323,-0.00032604972564010445,0.011164459557968675
1959-06-01,0.006850858059822466,0.005784482576877173,0.003315829273058123,-0.0004549803655983131,0.006843885297995505
1959-07-01,0.003651413585277803,0.001403363099765726,0.0021159877259515126,-7.807735335901611e-05,0.007513969799415683
1959-08-01,-0.0003161835902774463,0.014450787803218864,0.0008059095602237802,0.00028980989034944513,0.0050749127428825185
1959-09-01,-0.00728178643650076,0.006754641444716764,-0.002328883621837941,5.32303656337222e-06,-0.000428592450563179
1959-10-01,0.0016964034669218419,-0.0053838700386228755,0.001351271326110221,-0.00040592618632209407,0.0004305040346258669
1959-11-01,-0.001005091449734069,0.00532803259296468,0.0002160590275437262,-0.00033212606667725717,0.0026353079657939573
1959-12-01,0.0020293764035209617,0.005261023854372721,0.0015894788713208474,0.0010160451712673652,0.00195116375339559
1960-01-01,0.01784015822722347,0.005209747599715622,0.007427422600175776,-0.00043185364016258803,0.01328741726772074
1960-02-01,0.007821154780553317,-0.0024078203226787736,0.003470735914974883,0.001076313042648936,0.008394133315426605
1960-03-01,0.0021329020353171206,-0.00546400591970403,0.0017188932843687336,-0.0008011083959326182,0.007468490551414916
1960-04-01,-0.004640132559796752,0.0038711732559638715,-0.0011495823654576788,0.000331746765215863,0.003312514854118925
1960-05-01,0.004301810432182234,0.006202670081263647,0.0026506594853201284,-0.0012773060440721936,0.00352013479447574
1960-06-01,-0.00214570395038773,0.0039036970538326105,-0.000518630219861705,0.0009634430792170684,0.0033362535328408296
1960-07-01,-0.003942278448639703,0.015590978140209214,-0.0009142957848968522,-0.0001633555507251994,0.001017053563505412
1960-08-01,-0.0017892168661187077,-0.0001281707510135345,-8.970749151942094e-05,0.0009637350901263661,0.0026156369747314186
1960-09-01,-0.0003661382858206881,0.008191011018258976,0.0004428471191006725,-0.0012291514798671566,0.0006186534859893202
1960-10-01,-0.0013543789437327777,-0.0017112775785439159,0.00013413984711077055,0.0005691859809732657,0.0018524657251409952
1960-11-01,-0.0021152605896770124,0.0013030508367768276,-0.0002742707682541906,-0.0014459083332181773,0.00034213227325972256
1960-12-01,-0.004249093665505837,0.014651020432093553,-0.0010694670712789501,0.0010352098590352505,0.00016367440529910975
1961-01-01,-0.005849683276102862,0.0133563895584022,-0.0016752434248217241,-8.380387743001341e-05,-0.005911215362715831
1961-02-01,-0.0007527006570625626,0.017619892269524807,0.0002507128251970569,-2.9014665742183366e-05,-8.905371121407588e-05
1961-03-01,-0.001393408528967088,0.015490813382277951,-3.6849820154726725e-05,0.000262541075969519,-1.2880528485873823e-05
1961-04-01,0.0030723454599226843,0.011270936014988969,0.001824988244856844,1.4577156744247462e-05,0.00034168830795725213
1961-05-01,0.0028629146917833704,0.010410039803321978,0.0014969083673321642,0.00030712146211113873,0.002602248339813588
1961-06-01,0.005216336433485246,0.0053706104090879715,0.0026203994604901684,-0.0005600986679207861,0.003968906608431865
1961-07-01,0.006150747200527166,-0.0007344780416798926,0.0030193966513891867,0.00034764669140672377,0.003623660032026549
1961-08-01,0.0032181374825429004,0.0031359374581442093,0.0018750473209383862,-0.0007804054661738835,0.0038210348286063095
1961-09-01,0.006197191028153963,0.010934353927699663,0.0030626595453739722,0.0006474875739510229,0.006216139843397612
1961-10-01,0.0006908386616325003,0.0029311760960628597,0.0009621453338966022,-0.0002097429184757897,0.003752355762614268
1961-11-01,0.00689372825868104,0.00483841530642634,0.0032057211978461534,0.0004528752738180245,0.005100264590192596
1961-12-01,0.007253421205680481,0.012693878187817679,0.003453256546252054,6.149645415954542e-05,0.007316597338496467
1962-01-01,0.004351772974754563,0.005485237037889001,0.002316090487440791,-0.0002680943069340705,0.003798895998852047
1962-02-01,0.0004435200963255105,-0.004298256755763858,0.0008661248787432199,-1.2281679870988427e-05,0.0045188245617951515
1962-03-01,0.006709326593666343,0.006239947193615954,0.0033066333885728304,-0.0003397230852786541,0.0069055723865169925
1962-04-01,0.003487527552261383,0.0038546733079552913,0.001973579047765536,0.00011971266833938013,0.005952487455976375
1962-05-01,0.0045481590877621105,-0.004726778834617642,0.0026248641268772164,0.0002308018819482919,0.0041597190117086905
1962-06-01,0.001529950349890583,-0.014219326746374737,0.001223076643551436,9.697372615820149e-05,0.005612768948749812
1962-07-01,0.0008038391036982733,-0.025247384492994303,0.0009451149916664983,0.0005796050945145694,0.00417954164397474
1962-08-01,0.004043491136435505,0.00915200166657574,0.002163325989140797,-0.0003680143257888106,0.004889579765750202
1962-09-01,0.0018294846591911578,0.01081244758229145,0.0013791140875878175,-0.000489640815767012,0.004473131081986356
1962-10-01,0.003568259358177507,0.0014310943015887728,0.0020429538315405176,-0.0007606657850225536,0.006198566178796869
1962-11-01,0.0018610374210783088,-0.0034298372379896313,0.00136484153838888,0.0017626357088111142,0.004635595687049676
1962-12-01,0.0024533917029434657,0.020168656649286354,0.00152173332327011,-0.00038307834400483495,0.0027561372385524322
1963-01-01,0.0012315086217066723,0.014830976572007997,0.0010510134999709192,-5.5631721211142185e-06,0.0025861324418300653
1963-02-01,0.0031024297210038533,0.012965791527891552,0.0018083866894007179,-0.0005714591554715293,0.0036088861113448435
1963-03-01,0.003952231700040301,0.006634633079456154,0.002124009238203358,0.00021957270472067192,0.0045340324176747805
